channel_id,channel_name,start_date,videos,views,subscribers
UCixBcYsH2sk8YFUJ3S-6_Bg,440 Sports,2020-06-24T14:46:55.904464Z,801.0,230075.0,1780.0
UCuOwl-VgqBHOzR8hWnonBcA,Sky Sport DE,2009-02-19T13:59:14Z,7288.0,736543778.0,1610000.0
UC3kxJQ9RfaS5CKeYbbFMi4Q,Sky Sports F1,2018-07-17T16:38:09Z,3260.0,319583598.0,732000.0
UCuGyKVhuCa_iattvhM4DlQQ,Sports Injury Physio,2014-06-28T09:00:45Z,261.0,14016432.0,150000.0
UCX2eNtU1ZG3x4OpdP2UIlJA,Prasar Bharati Sports,2014-11-18T09:38:39Z,6041.0,119898053.0,945000.0
UCIBNkFKpmUx0R4gDv6wqi-g,Sky Sports Darts,2021-11-17T14:04:58.676733Z,806.0,79304514.0,82900.0
UCiF5HFwipoXlNahMHMEII_g,The Sports Fury,2016-10-07T14:15:33Z,2174.0,77334885.0,245000.0
UC9LrQByjJFCGqUgvylTiVLQ,Jackson Krueger Sports,2017-04-12T07:02:14Z,4989.0,57178297.0,142000.0
UCLbe62TJjEM1a7gnvTIsxkw,The Action Network: Sports Betting Picks & Tips,2018-01-24T20:40:33Z,10801.0,12260723.0,52600.0
UCKhrVpHn0ghqn4WUANk5RvQ,Dolphins Today by Chat Sports,2020-05-30T12:33:11.62361Z,1389.0,14030398.0,55600.0
UC22Sr8bNYjAKqxLr-snMGnA,SG Sports TV,2010-04-30T06:43:20Z,4900.0,291903899.0,565000.0
UC3GSRnuKIZc1IFJSJiEYhdw,A to Z Sports Nashville,2016-01-25T17:09:30Z,5349.0,10255893.0,16900.0
UCef_O_ttXxlLP7dlk0-snlQ,World Sports,2016-05-06T16:07:35Z,4437.0,151756163.0,561000.0
UCoyaxd5LQSuP4ChkxK0pnZQ,EA SPORTS FC,2009-07-26T17:48:32Z,821.0,899232758.0,5100000.0
UCZDi95PJ6VmWtQAScA9Rh-w,DR Sports,2016-04-08T11:07:22Z,3397.0,175554388.0,351000.0
UCvx58rrfVhm3s_uktJOP0-g,SPORTS GAME MAXIMO,2017-09-02T11:58:56Z,4135.0,6048376.0,26000.0
UCm3-NocWw8YDQ6lfOb78ehA,UCLA Athletics,2013-08-19T20:47:11Z,6519.0,322112417.0,398000.0
UCRlq9UVLDa3jNRX14-XdT3A,Baseball Sports,2016-11-16T05:27:12Z,104.0,219881878.0,287000.0
UC5lMsDXNh9jbafkCOnoGfZA,The Athletic FC Podcast,2019-05-20T11:29:28Z,687.0,22681360.0,212000.0
UCk9zL0UlZ28uS7tlcguSLQg,Sports Card Investor,2019-05-15T01:20:01Z,1014.0,77256110.0,306000.0
UC59rc_knTtHbf5315NrYbVw,Forever Sports,2020-05-14T14:25:49.015256Z,3670.0,23626664.0,66300.0
UCOKEYIW6jRMpa8ex1xKJXEw,Baddog Sports,2014-10-09T14:12:08Z,2282.0,44829741.0,133000.0
UCm7aNg87CtuXIcqaVnajQcA,Chiefs Report by Chat Sports,2019-10-23T21:56:54.727366Z,1529.0,13956058.0,53200.0
UC86X0tzvfk12eAG9JYMp99w,EA SPORTS UFC,2017-04-18T22:18:35Z,59.0,10507439.0,79100.0
UCZFhj_r-MjoPCFVUo3E1ZRg,Whistle,2006-09-12T01:34:37Z,2849.0,1251351151.0,3100000.0
UCLo2xigvxv9ksxp78AyCBTw,القنوات الرياضية السعودية Official Saudi Sports TV,2011-04-01T18:49:29Z,22971.0,605812282.0,1750000.0
UCShQUnLofj5O3NokkdqnaGw,Audacy Sports,2019-08-01T12:03:43Z,3614.0,634778.0,5540.0
UC6IECRla3M96wzXqAv5azTg,G's Sports Central,2021-10-23T15:14:48.392451Z,209.0,10717632.0,32900.0
UCEXtuOW2PXheCM4RDKOEvUQ,LI Sports Network,2013-08-01T06:17:14Z,2241.0,1274260.0,6890.0
UCeksvr96LM7TMMdK3-vp9rQ,JAKIB Sports,2018-09-18T16:54:32Z,11473.0,31099531.0,46800.0
UCmd_TG_wO5FVWXsJvnWweMg,Zaleski Sports,2017-01-05T22:49:09Z,3172.0,2686094.0,11400.0
